"Patient","No benefits","Responder","TIDE","IFNG","MSI Expr Sig","Merck18","CD274","CD8","CTL.flag","Dysfunction","Exclusion","MDSC","CAF","TAM M2"
"GSM748320","False","False","2.30","-0.22","0.49","-0.19","-0.28","-0.11","False","-1.25","2.30","0.21","0.06","0.08"
"GSM748288","False","False","2.15","-0.30","0.51","-0.28","-0.32","-0.23","False","-1.51","2.15","0.14","0.12","0.05"
"GSM748108","False","False","1.86","0.35","0.48","0.27","0.20","0.10","True","1.86","-1.60","-0.17","0.03","-0.11"
"GSM748310","False","False","1.84","0.18","0.50","0.05","0.14","0.04","False","-0.29","1.84","0.10","0.20","-0.05"
"GSM1465997","False","False","1.76","-0.00","0.43","-0.04","-0.18","-0.04","False","-1.10","1.76","0.18","0.02","0.06"
"GSM748144","False","False","1.72","0.04","0.45","0.02","0.06","0.00","False","0.50","1.72","0.02","0.28","-0.07"
"GSM748175","False","False","1.72","0.10","0.46","0.18","0.07","0.19","True","1.72","-0.23","-0.16","0.22","-0.08"
"GSM748213","False","False","1.63","-0.16","0.44","-0.18","-0.22","-0.05","False","-0.52","1.63","0.17","-0.01","0.09"
"GSM748291","False","False","1.60","-0.12","0.51","-0.14","-0.21","-0.14","False","-1.39","1.60","0.18","-0.00","0.07"
"GSM748348","False","False","1.57","-0.21","0.47","-0.15","-0.22","-0.15","False","-0.72","1.57","0.15","0.00","0.09"
"GSM748131","False","False","1.50","0.31","0.49","0.21","0.19","0.17","True","1.50","-2.87","-0.22","-0.11","-0.10"
"GSM1465999","False","False","1.49","-0.26","0.53","-0.25","-0.14","-0.04","False","-1.54","1.49","0.23","-0.06","0.07"
"GSM748328","False","False","1.43","-0.05","0.49","-0.07","-0.06","-0.16","False","-0.83","1.43","0.14","0.09","-0.03"
"GSM748127","False","False","1.42","0.31","0.50","0.25","0.18","0.17","True","1.42","-0.89","-0.15","0.12","-0.11"
"GSM748096","False","False","1.41","0.14","0.50","0.03","0.19","-0.08","False","0.36","1.41","0.10","0.21","-0.10"
"GSM748335","False","False","1.40","-0.08","0.40","-0.13","-0.08","-0.14","False","-0.76","1.40","0.17","0.03","0.01"
"GSM748355","False","False","1.40","0.07","0.50","0.08","0.23","0.01","False","-0.03","1.40","0.08","0.20","-0.08"
"GSM748140","False","False","1.39","-0.09","0.45","-0.09","-0.14","-0.08","False","-1.06","1.39","0.15","0.04","0.01"
"GSM748146","False","False","1.37","0.27","0.51","0.22","0.29","0.15","True","1.37","-1.35","-0.13","0.01","-0.08"
"GSM748062","False","False","1.29","-0.03","0.53","-0.11","-0.19","-0.16","False","-0.39","1.29","0.14","0.07","-0.02"
"GSM748054","False","False","1.26","-0.08","0.44","-0.01","0.33","-0.10","False","-0.14","1.26","0.04","0.16","-0.03"
"GSM748063","False","False","1.26","-0.20","0.54","0.03","0.47","0.02","False","-0.38","1.26","0.09","0.06","0.04"
"GSM748364","False","False","1.26","-0.23","0.46","-0.16","-0.13","-0.09","False","-0.38","1.26","0.15","0.00","0.04"
"GSM748256","False","False","1.23","0.22","0.49","0.15","0.07","0.17","True","1.23","-2.13","-0.13","-0.18","-0.02"
"GSM748209","False","False","1.23","-0.14","0.47","-0.08","-0.11","0.04","False","-0.59","1.23","0.09","0.10","-0.01"
"GSM748079","False","False","1.22","0.31","0.50","0.27","0.19","0.19","True","1.22","-0.86","-0.20","0.14","-0.10"
"GSM748109","False","False","1.21","0.22","0.50","0.22","0.17","0.13","True","1.21","-0.51","-0.12","0.12","-0.09"
"GSM748258","False","False","1.19","-0.31","0.44","-0.19","-0.16","-0.17","False","-0.49","1.19","0.15","-0.04","0.08"
"GSM748253","False","False","1.18","-0.47","0.49","-0.29","-0.41","-0.13","False","-0.87","1.18","0.18","-0.09","0.09"
"GSM748187","False","False","1.14","0.31","0.52","0.25","0.27","0.14","True","1.14","-1.21","-0.21","0.10","-0.08"
"GSM748189","False","False","1.12","0.39","0.56","0.29","0.35","0.26","True","1.12","-1.65","-0.09","-0.06","-0.12"
"GSM748294","False","False","1.10","0.11","0.52","0.04","-0.04","0.01","False","-0.68","1.10","0.15","0.05","-0.05"
"GSM748365","False","False","1.09","0.00","0.49","-0.07","0.02","-0.05","False","-0.75","1.09","0.14","0.01","0.01"
"GSM748125","False","False","1.08","0.29","0.48","0.19","0.27","0.20","True","1.08","-1.38","-0.16","0.04","-0.10"
"GSM748105","False","False","1.03","0.03","0.49","0.08","0.04","0.07","True","1.03","-0.44","-0.09","0.06","-0.03"
"GSM748314","False","False","1.00","-0.14","0.50","-0.17","0.10","-0.18","False","-0.77","1.00","0.14","0.01","0.03"
"GSM748316","False","False","0.99","-0.08","0.50","-0.05","0.25","-0.08","False","-0.42","0.99","0.11","0.04","0.01"
"GSM748198","False","False","0.99","0.12","0.48","0.12","0.17","0.11","True","0.99","-0.57","-0.01","-0.03","-0.04"
"GSM748152","False","False","0.97","0.16","0.49","0.13","0.11","0.14","True","0.97","-1.56","-0.14","-0.05","-0.07"
"GSM748343","False","False","0.96","-0.07","0.48","-0.15","-0.25","-0.13","False","-0.54","0.96","0.13","-0.03","0.04"
"GSM748124","False","False","0.95","0.34","0.53","0.23","0.21","0.18","True","0.95","-1.60","-0.13","-0.02","-0.09"
"GSM748139","False","False","0.95","0.27","0.52","0.15","0.05","0.21","True","0.95","-0.46","-0.08","0.07","-0.08"
"GSM748071","False","False","0.94","-0.06","0.49","0.06","0.09","0.07","True","0.94","0.10","-0.17","0.18","-0.02"
"GSM748067","False","False","0.91","0.04","0.51","0.07","0.67","-0.11","False","-0.74","0.91","0.08","0.05","0.01"
"GSM748346","False","False","0.88","-0.03","0.48","-0.08","-0.10","0.00","False","-1.00","0.88","0.04","0.04","0.04"
"GSM1465996","False","False","0.85","-0.25","0.51","-0.20","-0.38","-0.23","False","-0.83","0.85","0.13","-0.04","0.06"
"GSM748093","False","False","0.82","0.02","0.52","0.02","0.12","0.04","False","0.10","0.82","-0.02","0.16","-0.03"
"GSM748113","False","False","0.82","-0.03","0.43","-0.07","-0.27","-0.06","False","-1.32","0.82","0.14","0.00","-0.02"
"GSM748162","False","False","0.82","0.31","0.53","0.25","0.31","0.19","True","0.82","-1.80","-0.16","-0.05","-0.06"
"GSM748254","False","False","0.81","-0.40","0.46","-0.27","-0.19","-0.20","False","-0.70","0.81","0.16","-0.11","0.08"
"GSM748304","False","False","0.80","-0.12","0.48","-0.10","-0.18","-0.06","False","-0.81","0.80","0.14","-0.07","0.05"
"GSM748215","False","False","0.80","-0.35","0.47","-0.20","-0.32","-0.12","False","-0.97","0.80","0.16","-0.10","0.06"
"GSM748244","False","False","0.80","-0.16","0.45","-0.06","-0.33","-0.03","False","-0.06","0.80","0.12","-0.06","0.07"
"GSM748075","False","False","0.79","0.14","0.50","0.11","0.12","0.15","True","0.79","-0.55","-0.14","0.14","-0.10"
"GSM748202","False","False","0.78","-0.05","0.48","-0.15","-0.15","-0.14","False","-1.04","0.78","0.12","-0.04","0.04"
"GSM748345","False","False","0.76","-0.06","0.51","-0.13","-0.19","-0.20","False","-0.82","0.76","0.13","-0.09","0.08"
"GSM748242","False","False","0.74","0.18","0.48","0.07","0.09","0.06","False","-0.22","0.74","0.02","0.11","-0.05"
"GSM748173","False","False","0.73","0.13","0.48","0.07","0.18","0.07","False","0.57","0.73","-0.12","0.28","-0.06"
"GSM748333","False","False","0.71","0.05","0.53","0.05","-0.05","-0.04","False","-0.27","0.71","0.06","0.06","-0.00"
"GSM748341","False","False","0.71","0.29","0.52","0.21","0.26","0.21","True","0.71","-1.92","-0.14","-0.10","-0.05"
"GSM748148","False","False","0.68","0.37","0.55","0.26","0.58","0.27","True","0.68","-1.11","-0.03","-0.03","-0.11"
"GSM748116","False","False","0.68","0.30","0.49","0.16","0.15","0.17","True","0.68","-0.95","-0.06","-0.01","-0.07"
"GSM748278","False","False","0.67","0.09","0.46","0.06","-0.02","0.12","True","0.67","0.35","-0.01","0.11","-0.06"
"GSM748280","False","False","0.62","0.26","0.54","0.14","0.08","0.07","True","0.62","0.19","-0.01","0.12","-0.10"
"GSM748358","False","False","0.62","0.13","0.48","0.06","-0.03","-0.07","False","-0.02","0.62","0.11","0.01","-0.00"
"GSM748329","False","False","0.61","-0.13","0.47","-0.13","-0.10","-0.16","False","-1.65","0.61","0.16","-0.09","0.03"
"GSM748084","False","False","0.60","0.12","0.51","0.09","0.13","0.07","True","0.60","1.23","-0.01","0.24","-0.07"
"GSM748317","False","False","0.58","0.11","0.47","0.06","-0.05","0.05","True","0.58","1.30","0.06","0.20","-0.07"
"GSM748245","False","False","0.57","-0.34","0.56","-0.22","-0.29","-0.09","False","-1.02","0.57","0.17","-0.15","0.07"
"GSM748143","False","False","0.57","0.02","0.46","0.04","0.05","0.04","False","0.13","0.57","0.02","0.09","-0.04"
"GSM748327","False","False","0.53","0.18","0.50","0.00","-0.08","0.02","False","-1.06","0.53","0.14","-0.07","0.01"
"GSM748183","False","False","0.53","-0.08","0.49","-0.00","0.00","0.05","False","0.60","0.53","-0.03","0.17","-0.04"
"GSM748243","False","False","0.51","-0.00","0.49","0.06","0.02","0.08","True","0.51","-0.70","-0.15","0.09","-0.07"
"GSM748277","False","False","0.51","-0.18","0.55","-0.10","-0.27","-0.12","False","-0.68","0.51","0.08","-0.03","0.02"
"GSM748250","False","False","0.49","0.37","0.52","0.16","0.32","0.11","True","0.49","-1.45","-0.03","-0.14","-0.04"
"GSM748255","False","False","0.48","-0.37","0.46","-0.27","-0.21","-0.18","False","-0.41","0.48","0.12","-0.07","0.07"
"GSM748300","False","False","0.47","-0.05","0.57","-0.06","-0.14","-0.05","False","-0.93","0.47","0.10","-0.05","0.04"
"GSM748055","False","False","0.44","-0.04","0.46","-0.06","0.02","-0.01","False","-0.54","0.44","0.02","0.02","0.03"
"GSM748240","False","False","0.44","-0.24","0.46","-0.16","-0.11","-0.14","False","-0.78","0.44","0.04","0.05","-0.03"
"GSM748269","False","False","0.43","-0.37","0.54","-0.24","-0.25","-0.26","False","-0.16","0.43","-0.02","0.04","0.04"
"GSM748059","False","False","0.39","0.13","0.58","-0.01","-0.03","0.02","False","-0.92","0.39","0.12","-0.08","0.01"
"GSM748179","False","False","0.39","-0.12","0.51","-0.03","0.44","-0.03","False","-0.50","0.39","0.14","-0.07","-0.00"
"GSM748315","False","False","0.38","0.18","0.52","0.11","0.34","0.08","True","0.38","-0.99","-0.02","-0.09","-0.03"
"GSM748276","False","False","0.35","0.33","0.51","0.23","0.32","0.09","False","0.15","0.35","0.02","0.12","-0.11"
"GSM748297","False","False","0.34","0.05","0.50","0.01","-0.00","0.00","False","-0.72","0.34","0.10","-0.08","0.02"
"GSM748272","False","False","0.32","-0.44","0.56","-0.24","-0.32","-0.16","False","-0.21","0.32","0.01","-0.01","0.06"
"GSM748212","False","False","0.29","-0.18","0.53","-0.13","-0.30","-0.10","False","-1.12","0.29","0.11","-0.12","0.06"
"GSM748191","False","False","0.29","0.18","0.49","0.12","-0.03","0.13","True","0.29","1.07","0.08","0.12","-0.04"
"GSM748160","False","False","0.29","0.07","0.45","0.03","-0.14","0.09","False","-0.73","0.29","0.15","-0.14","0.04"
"GSM748337","False","False","0.29","0.13","0.44","0.04","0.09","0.09","True","0.29","0.23","0.04","-0.00","0.01"
"GSM748161","False","False","0.28","-0.06","0.47","0.04","-0.01","0.05","True","0.28","-0.04","-0.08","0.08","-0.03"
"GSM748220","False","False","0.28","-0.32","0.51","-0.26","-0.19","-0.30","False","-0.13","0.28","-0.01","0.02","0.03"
"GSM748222","False","False","0.27","-0.36","0.51","-0.21","-0.23","-0.15","False","-0.21","0.27","0.02","-0.02","0.04"
"GSM748081","False","False","0.24","-0.18","0.40","-0.09","-0.24","-0.01","False","0.10","0.24","0.11","-0.04","-0.00"
"GSM748174","False","False","0.24","-0.10","0.49","-0.10","-0.16","-0.13","False","-0.11","0.24","0.06","0.04","-0.05"
"GSM748221","False","False","0.24","-0.42","0.53","-0.27","-0.15","-0.08","False","-0.24","0.24","0.04","-0.06","0.07"
"GSM748151","False","False","0.23","-0.15","0.46","0.00","-0.09","-0.08","False","0.37","0.23","-0.01","0.06","-0.03"
"GSM748090","False","False","0.22","-0.05","0.50","-0.01","-0.05","0.07","True","0.22","-1.14","-0.16","-0.04","0.02"
"GSM748350","False","False","0.20","0.16","0.48","0.12","0.08","0.08","True","0.20","-0.76","0.01","-0.09","-0.03"
"GSM748366","False","False","0.19","0.01","0.48","-0.04","-0.12","0.12","False","-0.54","0.19","0.01","-0.01","0.03"
